"/cwkb/works/8789","default",""Apologia quam pro se misit Rufinus presbyter ad Anastasium, Romanae urbis episcopum""
"/cwkb/works/9044","default",""Ars grammatica, poetica, rhetorica""
"/cwkb/works/8726","default",""Carmen de Christo seu Laus Christi (= Claudius Claudianus [dubium], Carminum minorum uel spuriorum uel suspectorum appendix, 20) (= AL 878 R)""
"/cwkb/works/8722","default",""Commentarii in Epistulas Pauli ad Ephesios, ad Galatas, ad Philippenses""
"/cwkb/works/8661","default",""De exodo, in uigilia Paschae""
"/cwkb/works/8892","default",""De opere sex dierum primordialium, et de sex aetatibus mundi uel Liber hymnorum""
"/cwkb/works/8444","default",""Enchiridion de fide, spe et caritate""
"/cwkb/works/8512","default",""Ephemeris, id est totius diei negotium""
"/cwkb/works/8551","default",""Epistula episcoporum Leonis, Uicturi et Eustochi ad episcopos et presbyteros infra tertiam prouinciam constitutos""
"/cwkb/works/8604","default",""Epistula II ad plebem Vercellensem, Nouariensem, Eporediensem, Dertonensem (Epistula ad presbyteros et plebem Italiae)""
"/cwkb/works/8393","default",""Expositiunculae in Euangelium Iohannis euangelistae, Matthaei et Lucae""
"/cwkb/works/8636","default",""Fragmentum tractatus in Genesim xu, 9 - 11""
"/cwkb/works/8656","default",""Homilia in Lucam, de Lazaro et diuite""
"/cwkb/works/8663","default",""In die dominica Paschae, I""
"/cwkb/works/8664","default",""In die dominica Paschae, II""
"/cwkb/works/8662","default",""In psalmum xxxxi, ad neophytos""
"/cwkb/works/8850","default",""Passio sanctorum martyrum Fructuosi episcopi, Auguri et Eulogi diaconorum""
"/cwkb/works/8581","default",""Sermo de centesima, sexagesima, tricesima""
"/cwkb/works/8772","default",""Sermo IV: Contra Iudaeos, paganos et Arianos""
"/cwkb/works/8508","default",""Sermones nouissimi (a F. Dolbeau in cod. Mainz, Stadtbibl. I 9 detecti)""
"/cwkb/works/8695","default",""Tractatus prophetarum Osee, Iohel et Amos""
"/cwkb/works/8510","default",""Uersus ad lectorem (= Praefationes, I)""
"/cwkb/works/8511","default",""Uersus ad Syagrium (= Praefationes, II)""
"/cwkb/works/8509","default",""Uersus ad Theodosium Augustum (= Praefationes, IV)""
"/cwkb/works/8898","default",""Vita beatorum abbatum Benedicti, Ceolfridi, Eosterwini, Sigfridi et Hwaetberti (BHL 8968)""
"/cwkb/works/5198","default","Ἀθηνᾶ (37K 2D)"
"/cwkb/works/5206","default","Ἀπελλᾶ γενεθλιακός (30K 10D)"
"/cwkb/works/5203","default","Ἀσκληπιάδαι (38K 7D)"
"/cwkb/works/5215","default","Ἐλευσίνιος (22K 19D)"
"/cwkb/works/5208","default","Ἐπὶ Ἀλεξάνδρῳ ἐπιτάφιος (32K 12D)"
"/cwkb/works/5162","default","Ἐπὶ τῆς εἰρήνης Οὐάλεντι (orat. 10)"
"/cwkb/works/5170","default","Ἐπὶ τῇ φιλανθρωπίᾳ τοῦ αὐτοκράτορος Θεοδοσίου (orat. 19)"
"/cwkb/works/5168","default","Ἐπὶ τῇ χειροτονίᾳ τῆς πολιαρχίας (orat. 17)"
"/cwkb/works/5237","default","Ἐπιστολὴ περὶ Σμύρνης (19K 41D)"
"/cwkb/works/5171","default","Ἐπιτάφιος ἐπὶ τῷ πατρί (orat. 20)"
"/cwkb/works/5164","default","Ἐρωτικὸς ἢ περὶ κάλλους βασιλικοῦ (orat. 13)"
"/cwkb/works/5189","default","Ἔκφρασις τοῦ κοσμικοῦ πίνακος"
"/cwkb/works/5179","default","Ἡ ἐπὶ τῷ λόγῳ διάλεξις (orat. 28)"
"/cwkb/works/5201","default","Ἡρακλῆς (40K 5D)"
"/cwkb/works/5199","default","Ἰσθμικὸς εἰς Ποσειδῶνα (46K 3D)"
"/cwkb/works/5219","default","Ἱεροὶ λόγοι αʹ (47K 23D)"
"/cwkb/works/5220","default","Ἱεροὶ λόγοι βʹ (48K 24D)"
"/cwkb/works/5221","default","Ἱεροὶ λόγοι γʹ (49K 25D)"
"/cwkb/works/5222","default","Ἱεροὶ λόγοι δʹ (50K 26D)"
"/cwkb/works/5223","default","Ἱεροὶ λόγοι εʹ (51K 27D)"
"/cwkb/works/5224","default","Ἱεροὶ λόγοι ςʹ (52K 28D)"
"/cwkb/works/5228","default","Ὑπὲρ τῆς πρὸς Ἀθηναίους εἰρήνης (8K 32D)"
"/cwkb/works/5227","default","Ὑπὲρ τῆς πρὸς Λακεδαιμονίους εἰρήνης (7K 31D)"
"/cwkb/works/5157","default","Ὑπατικὸς εἰς τὸν αὐτοκράτορα Ἰοβιανόν (orat. 5)"
"/cwkb/works/5240","default","Ῥοδίοις περὶ ὁμονοίας (24K 44D)"
"/cwkb/works/5239","default","Ῥοδιακός [Sp.] (25K 43D)"
"/cwkb/works/5210","default","Ῥώμης ἐγκώμιον (26K 14D)"
"/cwkb/works/5244","default","Αἰγύπτιος (36K 48D)"
"/cwkb/works/5172","default","Βασανιστὴς ἢ φιλόσοφος (orat. 21)"
"/cwkb/works/5163","default","Δεκετηρικὸς ἢ περὶ τῶν πρεπόντων λόγων τῷ βασιλεῖ (orat. 11)"
"/cwkb/works/5195","default","Διαίρεσις τῶν ἐπιδεικτικῶν"
"/cwkb/works/5200","default","Διόνυσος (41K 4D)"
"/cwkb/works/5207","default","Εἰς Ἐτεωνέα ἐπικήδειος (31K 11D)"
"/cwkb/works/5190","default","Εἰς Ῥώμην"
"/cwkb/works/5197","default","Εἰς Δία (43K 1D)"
"/cwkb/works/5166","default","Εἰς Θεοδόσιον· τίς ἡ βασιλικωτάτη τῶν ἀρετῶν (orat. 15)"
"/cwkb/works/5154","default","Εἰς Κωνστάντιον τὸν αὐτοκράτορα, ὅτι μάλιστα φιλόσοφος ὁ βασιλεύς, ἢ χαριστήριος (orat. 2)"
"/cwkb/works/5205","default","Εἰς βασιλέα [Sp.] (35K 9D)"
"/cwkb/works/5226","default","Εἰς τὸ ἐναντίον (6K 30D)"
"/cwkb/works/5213","default","Εἰς τὸ Αἰγαῖον πέλαγος (44K 17D)"
"/cwkb/works/5214","default","Εἰς τὸ φρέαρ τοῦ Ἀσκληπιοῦ (39K 18D)"
"/cwkb/works/5204","default","Εἰς τὸν Σάραπιν (45K 8D)"
"/cwkb/works/5156","default","Εἰς τὸν αὐτοκράτορα Κωνστάντιον (orat. 4)"
"/cwkb/works/5181","default","Θέσις εἰ γεωργητέον (orat. 30)"
"/cwkb/works/5246","default","Κατὰ τῶν ἐξορχουμένων (34K 50D)"
