Si	PRO:pers
individuano	VER:pres
due	ADJ
momenti	NOM
di	PRE
particolare	ADJ
influenza	NOM
della	PRE:det
figura	NOM
e	CON
della	PRE:det
poesia	NOM
virgiliana	ADJ
su	PRE
Ovidio	NOM
:	PON
il	DET:def
primo	ADJ
,	PON
dopo	PRE
la	DET:def
composizione	NOM
delle	PRE:det
opere	NOM
di	PRE
didascalica	ADJ
erotica	ADJ
,	PON
durante	PRE
la	DET:def
revisione	NOM
degli	PRE:det
«	PON
Amores	NOM
»	PON
;	PON
il	DET:def
secondo	ADJ
momento	NOM
,	PON
durante	PRE
l'	DET:def
esilio	NOM
a	PRE
Tomi	NOM
e	CON
nelle	PRE:det
composizioni	NOM
dell'	PRE:det
ultimo	ADJ
periodo	NOM

