Se	SE
estudia	VLfin
la	ART
correspondencia	NC
del	PDEL
papa	NC
Gregorio	NP
Magno	VLfin
dirigida	VLadj
al	PAL
«	SYM
defensor	NC
»	SYM
Juan	NP
para	CSUBI
demostrar	VLinf
la	ART
aplicación	NC
del	PDEL
derecho	NC
bizantino	ADJ
,	CM
en	PREP
concreto	ADJ
el	ART
«	SYM
Corpus	NC
Iuris	NC
Ciuilis	NC
»	SYM
,	CM
en	PREP
la	ART
zona	NC
ocupada	VLadj
por	PREP
los	ART
bizantinos	NC
en	PREP
la	ART
Península	NC
Ibérica	NP
a	PREP
principios	NC
del	PDEL
s.	NC
7°	NC
.	FS

El	ART
funcionario	NC
papal	ADJ
ha de	VMfin
juzgar	VLinf
las	ART
intromisiones	NC
del	PDEL
«	SYM
magister	NC
militum	NC
»	SYM
Comenciolo	NC
en	PREP
la	ART
vida	NC
religiosa	ADJ
peninsular	ADJ
.	FS

