Il	DET:def
fatto	NOM
che	CON
Paolo	NOM
(	PON
dig.	ABR
44	NUM
,	PON
1	NUM
,	PON
7	NUM
,	PON
1	NUM
)	PON
parli	VER:pres
di	PRE
«	PON
auxilium	NOM
»	PON
in	PRE
favore	NOM
del	PRE:det
minore	NOM
«	PON
deceptus	NOM
in	PRE
re	NOM
»	PON
piuttosto	ADV
che	PRO:rela
direttamente	ADV
di	PRE
«	PON
exceptio	ADJ
»	PON
è	VER:pres
spiegato	VER:pper
alla	PRE:det
luce	NOM
della	PRE:det
duplice	ADJ
possibilità	NOM
di	PRE
interventi	NOM
processuali	ADJ
applicabili	ADJ
dal	PRE:det
pretore	NOM
(	PON
ricorso	NOM
alla	PRE:det
«	PON
exceptio	NOM
»	PON
o	CON
alla	PRE:det
«	PON
denegatio	ADJ
actionis	NOM
»	PON
)	PON

