Se	SE
analiza	VLfin
la	ART
situación	NC
del	PDEL
judaísmo	NC
del	PDEL
siglo	NC
1°	NC
d.	NC
C.	ACRNM
,	CM
que	CQUE
ha	VHfin
dado	VLadj
lugar	NC
a	PREP
dos	CARD
opiniones	NC
contrarias	ADJ
,	CM
representadas	VLadj
por	PREP
los	ART
autores	NC
citados	VLadj
:	COLON
Neusner	NP
(	LP
=>	NC
68-04941	CARD
)	RP
mantiene	VLfin
la	ART
uniformidad	NC
esencial	ADJ
en cuanto a	PREP
su	PPO
estructura	NC
básica	ADJ
,	CM
en tanto	ADV
que	CQUE
Sanders	NP
(	LP
=>	NC
53-12448	CARD
)	RP
destaca	VLfin
la	ART
diversidad	NC
entre	PREP
las	ART
comunidades	NC
de	PREP
fe	NC

