Se	SE
traza	VLfin
una	ART
visión	NC
panorámica	ADJ
del	PDEL
nacimiento	NC
y	CC
desarrollo	NC
de	PREP
la	ART
comedia	VLfin
«	SYM
Atellana	NP
»	SYM
,	CM
desde	PREP
sus	PPO
orígenes	NC
itálicos	ADJ
en	PREP
la	ART
región	NC
de	PREP
Campania	NP
y	CC
sus	PPO
manifestaciones	NC
preliterarias	ADJ
,	CM
hasta	PREP
su	PPO
conversión	NC
en	PREP
un	ART
tipo	NC
peculiar	ADJ
de	PREP
la	ART
comedia	VLfin
latina	ADJ
,	CM
de	PREP
carácter	NC
ya	ADV
claramente	ADV
literario	ADJ
,	CM
gracias a	PREP
la	ART
acción	NC
sobre todo	ADV
de	PREP
los	ART
comediógrafos	NC
Lucio	NP
Pomponio	NP
y	CC
Novio	NP
.	FS

El	ART
análisis	NC
de	PREP
los	ART
títulos	NC
y	CC
de	PREP
los	ART
escasos	ADJ
fragmentos	NC
conservados	VLadj
de	PREP
las	ART
obras	NC
de	PREP
estos	DM
autores	NC
permite	VLfin
definir	VLinf
la	ART
«	SYM
Atellana	NC
»	SYM
como	CSUBX
un	ART
tipo	NC
de	PREP
comedia	VLfin
popular	ADJ
,	CM
sin	PREP
grandes	ADJ
pretensiones	NC
,	CM
el	ART
más	ADV
típicamente	ADV
romano	VLfin
.	FS

