It	PP
is	VBZ
worth	JJ
examining	VBG
the	DT
usage	NN
of	IN
the	DT
writings	NNS
of	IN
John	NP
Cassian	NP
as	RB
evidenced	VBD
in	IN
Anglo-Saxon	JJ
sources	NNS
between	IN
the	DT
later	RBR
7th-mid-8th	JJ
cents	NNS
.	SENT

A.	NP
D.	NP
Manuscript	NN
evidence	NN
implies	VBZ
that	IN
more	JJR
than	IN
one	CD
copy	NN
of	IN
Cassian	NP
's	POS
writings	NNS
was	VBD
available	JJ
in	IN
Anglo-Saxon	JJ
England	NP
during	IN
this	DT
period	NN
.	SENT

The	DT
usage	NN
of	IN
Cassian	NP
's	POS
writings	NNS
in	IN
the	DT
Leyden	NP
Glossary	NP
(	(
=	SYM
Leyden	NP
,	,
Bibl	NP
.	SENT
der	NP
Rijksuniversiteit	NP
,	,
Voss	NP
.	SENT
Lat	NN
.	SENT
Q.	NP
69	CD
)	)
,	,
Aldhelm	NP
,	,
«	)
De	NP
uirginitate	NN
»	(
,	,
and	CC
Bede	NP
is	VBZ
clear	JJ
.	SENT

The	DT
evidence	NN
taken	VBN
as	IN
a	DT
whole	NN
,	,
however	RB
,	,
is	VBZ
limited	VBN
in	IN
time	NN
to	TO
little	RB
more	JJR
than	IN
half	PDT
a	DT
century	NN
,	,
and	CC
to	TO
a	DT
limited	JJ
circle	NN
of	IN
learned	VBN
contacts	NNS
.	SENT

