Se	SE
defiende	VLfin
que	CQUE
el	ART
conjunto	NC
de	PREP
la	ART
comunicación	NC
epigráfica	ADJ
constituye	VLfin
en	PREP
sí	PPX
mismo	ADJ
una	ART
forma	NC
de	PREP
literatura	NC
particular	ADJ
,	CM
destinada	VLadj
a	PREP
un	ART
disfrute	NC
en	PREP
los	ART
espacios	NC
públicos	ADJ
.	FS

La	ART
literatura	NC
«	SYM
callejera	ADJ
»	SYM
,	CM
o	CC
la	ART
epigrafía	NC
expuesta	ADJ
,	CM
era	VEfin
una	ART
expresión	NC
autónoma	ADJ
del	PDEL
espíritu	NC
y	CC
ante	PREP
todo	QU
una	ART
comunicación	NC
funcional	ADJ
,	CM
sometida	VLadj
a	PREP
reglas	NC
ordinarias	ADJ
,	CM
y	CC
que	CQUE
tenía	VLfin
justamente	ADV
en	PREP
esa	DM
convencionalidad	VLfin
su	PPO
fuerte	ADJ
base	NC
expresiva	ADJ
.	FS

