Sénèque	NAM
hérite	VER:pres
d'	PRP
un	DET:ART
tissu	NOM
mythique	ADJ
largement	ADV
revisité	VER:pper
par	PRP
ses	DET:POS
prédécesseurs	NOM
,	PUN
comme	KON
le	PRO:PER
montre	VER:pres
la	DET:ART
«	PUN:cit
Quellenforschung	NOM
»	PUN:cit
de	PRP
ses	DET:POS
tragédies	NOM
.	SENT

Cette	PRO:DEM
dernière	ADJ
est	VER:pres
une	DET:ART
entreprise	NOM
complexe	VER:pres
vu	VER:pper
l'	DET:ART
hétérogénéité	NOM
des	PRP:det
sources	NOM
littéraires	ADJ
et	KON
philosophiques	ADJ
dont	PRO:REL
s'	PRO:PER
inspire	VER:pres
l'	DET:ART
auteur	NOM
et	KON
qu'	PRO:REL
il	PRO:PER
combine	VER:pres
,	PUN
en	PRP
respectant	VER:ppre
les	DET:ART
contraintes	NOM
qu'	PRO:REL
imposent	VER:pres
les	DET:ART
changements	NOM
de	PRP
mentalités	NOM
et	KON
de	PRP
culture	NOM
.	SENT

Tout	ADV
se	PRO:PER
passe	VER:pres
comme	ADV
si	KON
l'	DET:ART
héritage	NOM
stimulait	VER:impf
une	DET:ART
création	NOM
originale	ADJ
plus	ADV
encore	ADV
qu'	KON
une	DET:ART
imitation	NOM
créatrice	ADJ
.	SENT

Discussion	NOM
p.	ABR
106-120	NUM

