Ces	PRO:DEM
statuettes	NOM
originaires	ADJ
d'	PRP
Étrurie	NOM
méridionale	ADJ
et	KON
du	PRP:det
nord	NOM
du	PRP:det
Latium	NAM
,	PUN
produites	VER:pper
entre	PRP
le	DET:ART
5e	NUM
et	KON
le	DET:ART
milieu	NOM
du	PRP:det
3e	NUM
s.	NOM
,	PUN
sont	VER:pres
consacrées	VER:pper
à	PRP
Vei	NAM
,	PUN
Menerva	NAM
,	PUN
Artumès	NAM
,	PUN
Diane	NAM
ou	KON
Fortuna	NAM
,	PUN
divinités	NOM
à	PRP
fonction	NOM
courotrophique	ADJ
.	SENT

Elles	PRO:PER
sont	VER:pres
propres	ADJ
au	PRP:det
monde	NOM
étrusque	ADJ
et	KON
italique	ADJ
et	KON
n'	ADV
ont	VER:pres
pas	ADV
de	PRP
parallèle	NOM
en	PRP
Grèce	NAM
,	PUN
où	PRO:REL
la	DET:ART
femme	NOM
et	KON
l'	DET:ART
enfant	NOM
n'	ADV
ont	VER:pres
pas	ADV
une	DET:ART
importance	NOM
comparable	ADJ

