Prendendo	VER:geru
spunto	NOM
da	PRE
un	DET:indef
recente	ADJ
saggio	NOM
di	PRE
A.	NPR
Söllner	NOM
(	PON
=>	NOM
73-10860	NUM
)	PON
si	PRO:pers
riesamina	VER:pres
il	DET:def
trittico	NOM
di	PRE
tavolette	NOM
cerate	ADJ
che	PRO:rela
conserva	VER:pres
il	DET:def
testo	NOM
della	PRE:det
«	PON
uenditio	NOM
»	PON
di	PRE
una	DET:indef
schiava	NOM
:	PON
osservazioni	NOM
sulle	PRE:det
particolarità	NOM
grafiche	ADJ
del	PRE:det
documento	NOM
,	PON
in	PRE
lingua	NOM
latina	ADJ
,	PON
ma	CON
in	PRE
parte	NOM
redatto	VER:pper
in	PRE
alfabeto	NOM
greco	ADJ
,	PON
e	CON
sulla	PRE:det
rispondenza	NOM
dell'	PRE:det
affare	NOM
descritto	VER:pper
,	PON
i	DET:def
cui	PRO:rela
protagonisti	NOM
appartengono	VER:pres
a	PRE
etnie	NOM
diverse	ADJ
,	PON
alle	PRE:det
norme	NOM
di	PRE
compravendita	NOM
del	PRE:det
diritto	NOM
romano	ADJ

