Si	PRO:pers
studiano	VER:pres
i	DET:def
modi	NOM
di	PRE
rappresentazione	NOM
della	PRE:det
guerra	NOM
giudaica	ADJ
nella	PRE:det
produzione	NOM
numismatica	ADJ
di	PRE
Vespasiano	NOM
,	PON
in	PRE
particolare	NOM
nelle	PRE:det
emissioni	NOM
delle	PRE:det
zecche	NOM
di	PRE
Roma	NPR
,	PON
di	PRE
Lugdunum	NOM
,	PON
della	PRE:det
Commagene	NOM
e	CON
di	PRE
Tiro	NOM
,	PON
e	CON
il	DET:def
rilievo	NOM
dato	VER:pper
in	PRE
questa	PRO:demo
monetazione	NOM
al	PRE:det
ruolo	NOM
svolto	VER:pper
da	PRE
Tito	NOM
a	PRE
partire	VER:infi
dal	PRE:det
70	NUM
d.	NOM
C.	NPR
