Ce	PRO:DEM
sanctuaire	NOM
découvert	VER:pper
en	PRP
1965	NUM
et	KON
édifié	VER:pper
au	PRP:det
2e	NUM
s.	ABR
apr.	ABR
J.	ABR
-C	ADJ
.	SENT

a	VER:pres
livré	VER:pper
près	ADV
de	PRP
200	NUM
inscriptions	NOM
en	PRP
grec	NOM
(	PUN
SEG	NAM
50	NUM
,	PUN
597	NUM
)	PUN
,	PUN
en	PRP
grande	ADJ
majorité	NOM
des	PRP:det
textes	NOM
d'	PRP
affranchissement	NOM
par	PRP
consécration-donation	NOM
à	PRP
la	DET:ART
Mère	NAM
des	PRP:det
Dieux	NOM
Autochtone	ADJ
.	SENT

Elles	PRO:PER
permettent	VER:pres
,	PUN
avec	PRP
quelques	PRO:IND
difficultés	NOM
,	PUN
de	PRP
cerner	VER:infi
la	DET:ART
position	NOM
sociale	ADJ
des	PRP:det
personnes	NOM
qui	PRO:REL
fréquentaient	VER:impf
le	DET:ART
sanctuaire	NOM
,	PUN
en	PRP
majorité	NOM
des	PRP:det
pasteurs	NOM
transhumants	ADJ
.	SENT

Examen	NOM
des	PRP:det
influences	NOM
romaines	ADJ
aux	PRP:det
plans	NOM
linguistique	ADJ
et	KON
onomastique	ADJ
,	PUN
religieux	ADJ
,	PUN
institutionnel	ADJ
et	KON
juridique	ADJ

