Prendendo	VER:geru
le	DET:def
mosse	NOM
dal	PRE:det
testo	NOM
dell'	PRE:det
«	PON
indovinello	NOM
veronese	ADJ
»	PON
(	PON
10°	NOM
sec.	ABR
)	PON
,	PON
si	PRO:pers
individua	VER:pres
un	DET:indef
analogo	ADJ
accostamento	NOM
tra	PRE
l'	DET:def
atto	NOM
dello	PRE:det
scrivere	VER:infi
e	CON
alcuni	PRO:indef
aspetti	NOM
dell'	PRE:det
attività	NOM
agricola	ADJ
nell'	PRE:det
uso	NOM
metaforico	ADJ
di	PRE
termini	NOM
della	PRE:det
lingua	NOM
latina	ADJ
(	PON
«	PON
arare	VER:infi
»	PON
,	PON
«	PON
uersus	NOM
»	PON
,	PON
«	PON
legere	VER:infi
»	PON
)	PON
e	CON
nella	PRE:det
letteratura	NOM
giuridica	ADJ
classica	ADJ
,	PON
con	PRE
particolare	ADJ
attenzione	NOM
per	PRE
il	DET:def
passo	NOM
di	PRE
Gaio	NOM
(	PON
inst.	ABR
2	NUM
,	PON
77	NUM
)	PON
,	PON
in	PRE
cui	PRO:rela
il	DET:def
papiro	NOM
o	CON
la	DET:def
pergamena	NOM
usati	ADJ
come	PRE
materiale	NOM
scrittorio	ADJ
sono	VER:pres
equiparati	VER:pper
al	PRE:det
suolo	NOM

