Il	DET:def
lessema	NOM
è	VER:pres
attestato	VER:pper
solo	ADV
nella	PRE:det
tradizione	NOM
manoscritta	ADJ
dell'	PRE:det
«	PON
argumentum	NOM
»	PON
dell'	PRE:det
«	PON
Asinaria	NOM
»	PON
e	CON
non	ADV
compare	NOM
nei	PRE:det
glossari	NOM
antichi	ADJ
.	SENT

Si	PRO:refl
tratta	VER:pres
di	PRE
un	DET:indef
possibile	ADJ
allomorfo	NOM
di	PRE
«	PON
riualis	NOM
»	PON
dovuto	VER:pper
probabilmente	ADV
a	PRE
un	DET:indef
emendamento	NOM
di	PRE
un	DET:indef
revisore	NOM
umanistico	ADJ
del	PRE:det
testo	NOM
plautino	VER:cpre
in	PRE
luogo	NOM
delle	PRE:det
corrotte	ADJ
lezioni	NOM
tràdite	ADJ
«	PON
riumus	NOM
»	PON
e	CON
«	PON
ruimus	NOM
»	PON

