There	EX
is	VBZ
no	DT
proof	NN
of	IN
literary	JJ
connection	NN
between	IN
Augustine	NP
and	CC
Iamblichus	NP
,	,
the	DT
principle	NN
exponent	NN
of	IN
the	DT
Eastern	JJ
Neoplatonists	NNS
.	SENT

Yet	RB
even	RB
if	IN
historical	JJ
connections	NNS
to	TO
Iamblichus	NP
are	VBP
weak	JJ
,	,
Augustine	NP
should	MD
be	VB
read	VBN
with	IN
Iamblichean	JJ
philosophy	NN
in	IN
the	DT
background	NN
.	SENT

Comparison	NN
of	IN
Iamblichus	NP
,	,
«	)
De	NP
mysteriis	NP
»	(
and	CC
Augustine	NP
exemplifies	VBZ
the	DT
confrontation	NN
into	IN
which	WDT
eastern	JJ
and	CC
western	JJ
Neoplatonism	NN
came	VBD
with	IN
and	CC
after	IN
Plotinus	NP
.	SENT

The	DT
comparison	NN
also	RB
shows	VBZ
the	DT
philosophical	JJ
and	CC
spiritual	JJ
nature	NN
of	IN
humility	NN
in	IN
both	DT
writers	NNS
,	,
and	CC
helps	VBZ
ascertain	VB
more	RBR
precisely	RB
where	WRB
the	DT
Christian	JJ
difference	NN
lies	VBZ
.	SENT

