Se	SE
plantea	VLfin
una	ART
serie	NC
de	PREP
hipótesis	NC
sobre	PREP
el	ART
urbanismo	NC
cristiano	ADJ
en	PREP
Mérida	NP
a través de	PREP
la	ART
documentación	NC
arqueológica	ADJ
y	CC
de	PREP
las	ART
fuentes	NC
escritas	VLadj
.	FS

La	ART
introducción	NC
del	PDEL
cristianismo	NC
en	PREP
la	ART
ciudad	NC
,	CM
urbanísticamente	ADV
hablando	VLger
,	CM
no	NEG
constituye	VLfin
en	PREP
sí	PPX
mismo	ADJ
un	ART
cambio	NC
sustancial	ADJ
en	PREP
el	ART
tejido	NC
urbano	ADJ
,	CM
que	CQUE
va	VLfin
poco	ADV
a	PREP
poco	QU
cristianizándose	VLadj
a lo largo de	PREP
los	ART
siglos	NC
.	FS

El	ART
urbanismo	NC
paleocristiano	ADJ
va	VLfin
a	PREP
estar	VEinf
condicionado	VLadj
por	PREP
la	ART
situación	NC
de	PREP
los	ART
edificios	NC
anteriores	ADJ
que	CQUE
siguen	VLfin
en	PREP
uso	NC
durante	PREP
esta	DM
época	NC
,	CM
configurándose	VLadj
una	ART
dualidad	NC
urbanística	ADJ
en	PREP
la	ART
que	CQUE
los	ART
edificios	NC
derivados	VLadj
de	PREP
este	DM
nuevo	ADJ
orden	NC
deben	VMfin
amoldarse	VLinf
a	PREP
una	ART
realidad	NC
urbana	ADJ
ya	ADV
impuesta	VLadj
.	FS

