Si	PRO:pers
ribadisce	VER:pres
la	DET:def
plausibilità	NOM
di	PRE
un	DET:indef
soggiorno	NOM
ad	PRE
Alessandria	NPR
da	PRE
parte	NOM
di	PRE
Filodemo	NOM
(	PON
già	ADV
delineata	VER:pper
dall'	PRE:det
autore	NOM
nei	PRE:det
contributi	NOM
schedati	ADJ
71-03882	NUM
e	CON
71-03883	NUM
)	PON
,	PON
ripercorrendo	VER:geru
gli	DET:def
indizi	NOM
a	PRE
favore	NOM
,	PON
in	PRE
risposta	NOM
alle	PRE:det
obiezioni	NOM
sollevate	VER:pper
in	PRE
proposito	NOM
da	PRE
M.	NOM
Gigante	VER:ppre
(	PON
=>	NOM
72-04136	NUM
)	PON

