Si	PRO:refl
propone	VER:pres
di	PRE
datare	VER:infi
l'	DET:def
«	PON
Apocalisse	NOM
»	PON
ai	PRE:det
primi	ADJ
anni	NOM
di	PRE
regno	NOM
di	PRE
Nerone	NOM
anziché	CON
alla	PRE:det
fine	NOM
di	PRE
quello	PRO:demo
di	PRE
Domiziano	NOM
,	PON
come	CON
è	VER:pres
stato	VER:pper
fatto	VER:pper
finora	ADV
,	PON
sulla	PRE:det
base	NOM
di	PRE
una	DET:indef
tradizione	NOM
patristica	ADJ
basata	VER:pper
su	PRE
prove	NOM
interne	ADJ
,	PON
che	PRO:rela
dimostrerebbero	VER:cond
una	DET:indef
redazione	NOM
posteriore	ADJ
all'	PRE:det
ascesa	NOM
al	PRE:det
trono	NOM
di	PRE
Nerone	NOM
(	PON
54	NUM
d.	NOM
C.	NPR
)	PON
e	CON
anteriore	ADJ
al	PRE:det
terremoto	NOM
di	PRE
Laodicea	NOM
(	PON
60	NUM
d.	NOM
C.	NPR
)	PON

