Si	PRO:pers
riesaminano	VER:pres
le	DET:def
testimonianze	NOM
epigrafiche	ADJ
raccolte	VER:pper
da	PRE
M.	NOM
Kleijwegt	NOM
(	PON
=>	NOM
63-12975	NUM
)	PON
e	CON
se	CON
ne	ADV
radunano	VER:pres
di	PRE
nuove	ADJ
,	PON
per	PRE
indagare	VER:infi
cariche	ADJ
e	CON
responsabilità	NOM
politiche	ADJ
di	PRE
giovani	NOM
in	PRE
età	NOM
precedente	ADJ
all'	PRE:det
assunzione	NOM
della	PRE:det
toga	NOM
virile	ADJ
,	PON
con	PRE
riflessioni	NOM
sulla	PRE:det
percezione	NOM
dell'	PRE:det
infanzia	NOM
nel	PRE:det
mondo	NOM
romano	ADJ
:	PON
la	DET:def
casa	NOM
imperiale	ADJ
,	PON
le	DET:def
classi	NOM
senatorie	ADJ
ed	CON
equestri	ADJ
,	PON
i	DET:def
municipi	NOM
delle	PRE:det
parti	NOM
occidentale	ADJ
e	CON
orientale	ADJ
dell'	PRE:det
Impero	NOM

