Se	SE
comenta	VLfin
esta	DM
parodia	VLfin
gastronómica	ADJ
,	CM
construida	VLadj
no	NEG
sólo	ADV
con	PREP
el	ART
estilo	NC
y	CC
la	ART
forma	NC
métrica	ADJ
propios	ADJ
de	PREP
la	ART
épica	ADJ
,	CM
sino	CCAD
con	PREP
una	ART
técnica	NC
similar	ADJ
a	PREP
la	ART
del	PDEL
centón	NC
,	CM
que	CQUE
combina	VLfin
y	CC
reutiliza	NC
materiales	ADJ
tomados	VLadj
de	PREP
distintas	QU
obras	NC
,	CM
que	CQUE
,	CM
en	PREP
el	ART
caso	NC
de	PREP
Matrón	NC
,	CM
son	VSfin
la	ART
«	SYM
Ilíada	NP
»	SYM
y	CC
la	ART
«	SYM
Odisea	NP
»	SYM
.	FS

Casi	ADV
cada	QU
verso	NC
está	VEfin
formado	VLadj
por	PREP
uno	CARD
o	CC
varios	QU
hexámetros	NC
de	PREP
las	ART
obras	NC
homéricas	ADJ

