Se	SE
estudia	VLfin
la	ART
dieta	NC
alimenticia	ADJ
en	PREP
la	ART
antigua	ADJ
Grecia	NP
,	CM
tanto	ADV
los	ART
preceptos	NC
dietéticos	ADJ
de	PREP
los	ART
textos	NC
médicos	ADJ
como	CSUBX
la	ART
verdadera	ADJ
alimentación	NC
seguida	VLadj
por	PREP
la	ART
población	NC
en general	ADV
.	FS

La	ART
dieta	NC
de	PREP
los	ART
griegos	NC
era	VEfin
completa	ADJ
y	CC
variada	VLadj
.	FS

Cuando	CSUBX
las	ART
posibilidades	NC
lo	PPC
permitían	VLfin
,	CM
existía	VLfin
un	ART
interés	NC
por	PREP
seguir	VLinf
un	ART
régimen	NC
de	PREP
vida	NC
sano	ADJ
que	CQUE
prestara	VLfin
atención	NC
no	NEG
sólo	ADV
a	PREP
los	ART
alimentos	NC
consumidos	VLadj
sino	CCAD
también	ADV
al	PAL
ejercicio	NC
físico	ADJ
.	FS

