Si	PRO:pers
indagano	VER:pres
le	DET:def
valutazioni	NOM
della	PRE:det
virtù	NOM
politica	ADJ
e	CON
della	PRE:det
monarchia	NOM
di	PRE
Ciro	NOM
nel	PRE:det
pensiero	NOM
politico	ADJ
del	PRE:det
4°	NOM
sec.	NOM
,	PON
analizzando	VER:geru
le	DET:def
connessioni	NOM
tematiche	ADJ
ed	CON
ideali	ADJ
tra	PRE
le	DET:def
«	PON
Leggi	NOM
»	PON
e	CON
la	DET:def
«	PON
Ciropedia	NOM
»	PON
per	PRE
precisare	VER:infi
la	DET:def
prospettiva	NOM
culturale	ADJ
e	CON
politica	ADJ
dell'	PRE:det
opera	NOM
senofontea	ADJ
nella	PRE:det
definizione	NOM
della	PRE:det
«	PON
basileia	NOM
»	PON
ideale	ADJ

