Se	SE
consideran	VLfin
desde	PREP
el	ART
punto	NC
de	PREP
vista	NC
comparativo	ADJ
cinco	CARD
«	SYM
tabellae	NC
defixionum	NC
»	SYM
procedentes	VLadj
de	PREP
Hadrumentum	NC
que	CQUE
fueron	VSfin
publicadas	VLadj
por	PREP
A.	NC
Audollent	NP
:	COLON
TDA	NP
266	CARD
y	CC
268	CARD
;	SEMICOLON
Rapport	NP
sur	PE
deux	PE
fragments	NC
de	PREP
lamelles	NC
de	PREP
plomb	NC
avec	PE
inscription	VLfin
découvertes	ADJ
à	NC
Sousse	NP
(	LP
Tunisie	NP
)	RP
,	CM
en	PREP
:	COLON
BCTH	NP
1908	CODE
:	COLON
290-296	CARD
,	CM
y	CC
el	ART
trabajo	NC
consignado	VLadj
en	PREP
APh	NC
.	FS

6	CARD
,	CM
p.	ALFS
301.	FS

