Lo	DET:def
scritto	NOM
giovanile	ADJ
è	VER:pres
riversato	VER:pper
all'	PRE:det
interno	NOM
della	PRE:det
«	PON
Storia	NOM
Romana	NOM
»	PON
nella	PRE:det
sezione	NOM
che	PRO:rela
va	VER:pres
dalla	PRE:det
morte	NOM
di	PRE
Commodo	NOM
alla	PRE:det
fine	NOM
di	PRE
Nigro	NOM
,	PON
nella	PRE:det
quale	PRO:rela
emergono	VER:pres
chiare	ADJ
tracce	NOM
di	PRE
un	DET:indef
precedente	ADJ
atteggiamento	NOM
favorevole	ADJ
a	PRE
Settimio	NOM
Severo	ADJ
,	PON
poi	ADV
mutato	VER:pper
dall'	PRE:det
autore	NOM
al	PRE:det
momento	NOM
della	PRE:det
stesura	NOM
dell'	PRE:det
opera	NOM
della	PRE:det
maturità	NOM

