Ausgehend	ADJD
von	APPR
Überlegungen	NN
zur	APPRART
Problematik	NN
des	ART
Begriffs	NN
der	ART
Castro-Kultur	NN
und	KON
zur	APPRART
Forschungsgeschichte	NN
wird	VAFIN
dafür	PAV
plädiert	VVPP
,	$,
dass	KOUS
die	ART
«	$(
Krieger	NE
»	$(
einen	ART
einheimisch-vorrömischen	ADJA
Ursprung	NN
haben	VAFIN
,	$,
aber	ADV
in	APPR
römischer	ADJA
Zeit	NN
weiterhin	ADV
verwendet	VVPP
und	KON
hergestellt	VVPP
wurden	VAFIN
.	$.

Für	APPR
den	ART
Vergleich	NN
innerhalb	APPR
der	ART
keltischen	ADJA
Welt	NN
ist	VAFIN
der	ART
grosse	ADJA
zeitliche	ADJA
Abstand	NN
ein	ART
Problem	NN
.	$.

Diskussion	NN
S.	NE
113-115	CARD

