Im	APPRART
Rahmen	NN
des	ART
starken	ADJA
sozialen	ADJA
Engagements	NN
des	ART
Ambrosius	NE
wird	VAFIN
die	ART
Krankenversorgung	NN
in	APPR
den	ART
biographischen	ADJA
Nachrichten	NN
seltener	ADJD
erwähnt	VVPP
.	$.

Ausgehend	ADJD
von	APPR
einem	ART
Überblick	NN
über	APPR
die	ART
Situation	NN
der	ART
Kranken	NN
in	APPR
der	ART
frühen	ADJA
Kirche	NN
zeigt	VVFIN
eine	ART
Untersuchung	NN
der	ART
beiden	PIAT
Schriften	NN
ein	ART
von	APPR
der	ART
jeweiligen	ADJA
Zielrichtung	NN
abhängiges	ADJA
,	$,
unterschiedliches	ADJA
Bild	NN
von	APPR
Krankheit	NN
;	$.
insgesamt	ADV
spielt	VVFIN
jedoch	ADV
auch	ADV
in	APPR
seinen	PPOSAT
eigenen	ADJA
Schriften	NN
das	ART
Thema	NN
eine	ART
untergeordnete	ADJA
Rolle	NN
.	$.

