Ce	PRO:DEM
texte	NOM
reflète	VER:pres
les	DET:ART
préoccupations	NOM
qui	PRO:REL
avaient	VER:impf
cours	NOM
à	PRP
Athènes	NAM
,	PUN
au	PRP:det
milieu	NOM
du	PRP:det
4e	NUM
s.	NOM
,	PUN
à	PRP
propos	NOM
du	PRP:det
rôle	NOM
des	PRP:det
rhéteurs	NOM
et	KON
de	PRP
l'	DET:ART
écriture	NOM
épistolaire	ADJ
dans	PRP
la	DET:ART
cité	NOM
.	SENT

Quant	PRP
au	PRP:det
choix	NOM
du	PRP:det
personnage	NOM
de	PRP
Sappho	NAM
,	PUN
il	PRO:PER
peut	VER:pres
s'	PRO:PER
expliquer	VER:infi
par	PRP
des	PRP:det
jeux	NOM
intertextuels	ADJ

