Ce	PRO:DEM
cercueil	NOM
contenait	VER:impf
le	DET:ART
squelette	NOM
d'	PRP
une	DET:ART
jeune	ADJ
femme	NOM
,	PUN
probablement	ADV
d'	PRP
origine	NOM
orientale	ADJ
,	PUN
avec	PRP
une	DET:ART
chevelure	NOM
exceptionnellement	ADV
conservée	VER:pper
.	SENT

La	DET:ART
présence	NOM
de	PRP
gomme	NOM
laisse	VER:pres
supposer	VER:infi
qu'	KON
il	PRO:PER
s'	PRO:PER
agit	VER:pres
d'	PRP
une	DET:ART
perruque	NOM
.	SENT

L'	DET:ART
analyse	NOM
pollinique	ADJ
indique	VER:pres
l'	DET:ART
utilisation	NOM
de	PRP
produits	NOM
cosmétiques	ADJ
aromatiques	ADJ
(	PUN
safran	NOM
,	PUN
gommes-résines	NOM
de	PRP
Méditerranée	NAM
et	KON
d'	PRP
Afrique	NAM
)	PUN
;	PUN
d'	PRP
autres	ADJ
microflores	NOM
traduisent	VER:pres
le	DET:ART
paysage	NOM
lyonnais	ADJ
de	PRP
l'	DET:ART
époque	NOM
,	PUN
d'	PRP
autres	ADJ
encore	ADV
se	PRO:PER
rapportent	VER:pres
aux	PRP:det
cérémonies	NOM
funéraires	ADJ

