Se	SE
reflexiona	VLfin
sobre	PREP
las	ART
relaciones	NC
entre	PREP
el	ART
filófofo	NC
y	CC
el	ART
historiador	NC
,	CM
más	ADV
concretamente	ADV
entre	PREP
Platón	NP
y	CC
Tucídides	NP
,	CM
sobre	PREP
la	ART
verdad	NC
filosófica	ADJ
y	CC
la	ART
verdad	NC
histórica	ADJ
.	FS

Según	PREP
Platón	NP
,	CM
el	ART
historiador	NC
(	LP
Tucídides	NP
)	RP
es	VSfin
menos	ADV
competente	ADJ
que	CQUE
el	ART
filósofo	NC
tanto	ADV
para	CSUBI
«	SYM
valorar	VLinf
»	SYM
o	CC
«	SYM
juzgar	VLinf
»	SYM
como	ADV
para	CSUBI
«	SYM
nombrar	VLinf
»	SYM
.	FS

Al	PAL
historiador	NC
le	PPC
corresponde	VLfin
a	PREP
lo	ART
sumo	NC
la	ART
«	SYM
memoria	NC
»	SYM
,	CM
pero	CCAD
una	ART
memoria	NC
sin	PREP
«	SYM
saber	VLinf
»	SYM
,	CM
memoria	NC
de	PREP
las	ART
sombras	NC
que	CQUE
pasan	VLfin
pero	NC
no	NEG
«	SYM
reminiscencia	NC
»	SYM
de	PREP
los	ART
objetos	NC
que	CQUE
ya	ADV
viera	VLfin
el	ART
alma	NC
al	PAL
elevarse	VCLIinf
hacia	PREP
lo	ART
realmente	ADV
real	ADJ
(	LP
Fedro	NP
249c	NC
)	RP
.	FS

