Se	SE
analiza	VLfin
el	ART
libro	NC
1°	NC
de	PREP
dicha	QU
obra	NC
,	CM
en	PREP
el	ART
que	CQUE
la	ART
función	NC
estilística	ADJ
de	PREP
las	ART
alusiones	NC
mitológicas	ADJ
consiste	VLfin
en	PREP
servir	VLinf
de	PREP
referente	ADJ
para	CSUBI
exponer	VLinf
la	ART
situación	NC
anímica	ADJ
del	PDEL
poeta	NC
y	CC
para	CSUBI
ensalzar	VLinf
el	ART
carácter	NC
divino	ADJ
del	PDEL
emperador	NC
,	CM
que	CQUE
es	VSfin
comparado	VLadj
con	PREP
otras	QU
divinidades	NC
,	CM
con	PREP
el	ART
fin	NC
de	CSUBI
conseguir	VLinf
su	PPO
clemencia	NC

