Se	SE
aborda	VLfin
el	ART
tema	NC
de	PREP
la	ART
cristianización	NC
de	PREP
los	ART
pueblos	NC
bárbaros	ADJ
,	CM
y	CC
más	ADV
concretamente	ADV
de	PREP
los	ART
germanos	NC
,	CM
centrándose	VCLIger
en	PREP
dos	CARD
cuestiones	NC
:	COLON
por un lado	ADV
,	CM
el	ART
problema	NC
del	PDEL
proceso	NC
cristianizador	ADJ
visto	VLadj
como	CSUBX
integración	NC
del	PDEL
bárbaro	ADJ
en	PREP
la	ART
civilización	NC
clásica	ADJ
;	SEMICOLON
por	PREP
otro	QU
,	CM
la	ART
razón	NC
de	PREP
que	CQUE
la	ART
mayoría	NC
de	PREP
las	ART
primeras	ORD
iglesias	NC
de	PREP
los	ART
germanos	NC
confesaran	VLfin
el	ART
credo	NC
arriano	NC
.	FS

