La	DET:def
ricorrente	ADJ
cena	NOM
«	PON
apud	NOM
regem	NOM
»	PON
,	PON
funestata	VER:pper
dall'	PRE:det
omicidio	NOM
e	CON
segnata	VER:pper
da	PRE
connotazioni	NOM
cannibalesche	ADJ
,	PON
è	VER:pres
segno	NOM
del	PRE:det
diffondersi	VER:infi
di	PRE
un	DET:indef
male	NOM
morale	ADJ
connotato	NOM
come	PRE
«	PON
pestis	NOM
»	PON
dell'	PRE:det
animo	NOM
,	PON
ed	CON
è	VER:pres
al	PRE:det
centro	NOM
di	PRE
una	DET:indef
serie	NOM
di	PRE
riferimenti	NOM
che	PRO:rela
sembrano	VER:pres
collegare	VER:infi
Caligola	NOM
a	PRE
Marco	NOM
Antonio	NPR
,	PON
in	PRE
antitesi	NOM
ad	PRE
Augusto	NOM

