C'	PRO:DEM
est	VER:pres
par	PRP
Denys	NAM
l'	DET:ART
Aréopagite	NAM
(	PUN
DN	NAM
p.	ABR
229	NUM
,	PUN
13-230	NUM
,	PUN
5.	NUM
éd	NOM
.	SENT
Suchla	NAM
)	PUN
,	PUN
lecteur	NOM
et	KON
interprète	NOM
de	PRP
Proclus	NOM
,	PUN
que	KON
le	DET:ART
«	PUN:cit
Commentaire	NOM
sur	PRP
le	DET:ART
Parménide	NOM
»	PUN:cit
connut	VER:simp
une	DET:ART
grande	ADJ
diffusion	NOM
.	SENT

Traduction	NOM
annotée	VER:pper
de	PRP
«	PUN:cit
Sur	NAM
l'	DET:ART
impossibilité	NOM
de	PRP
nommer	VER:infi
le	DET:ART
premier	NUM
principe	NOM
»	PUN:cit
(	PUN
In	NOM
Prm.	NAM
142	NUM
A3-4	ABR
)	PUN
,	PUN
à	PRP
partir	VER:infi
d'	PRP
une	DET:ART
rétroversion	NOM
de	PRP
la	DET:ART
traduction	NOM
de	PRP
Guillaume	NAM
de	PRP
Moerbeke	NAM

