Étudie	VER:pres
différentes	ADJ
consolations	NOM
grecques	ADJ
et	KON
latines	ADJ
relatives	NOM
à	PRP
la	DET:ART
mort	NOM
d'	PRP
un	DET:ART
enfant	NOM
ou	KON
d'	PRP
un	DET:ART
être	NOM
jeune	ADJ
,	PUN
parmi	PRP
lesquelles	PRO:REL
une	DET:ART
lettre	NOM
de	PRP
Servius	NAM
Sulpicius	NAM
Rufus	NAM
subsistant	VER:ppre
de	PRP
la	DET:ART
«	PUN:cit
Consolation	NOM
»	PUN:cit
perdue	VER:pper
de	PRP
Cicéron	NAM
(	PUN
epist.	ABR
597	NUM
=	ABR
fam.	ABR
4	NUM
,	PUN
5	NUM
)	PUN
et	KON
une	DET:ART
lettre	NOM
de	PRP
Jérôme	NAM
à	PRP
Paula	NAM
(	PUN
epist.	ABR
60	NUM
,	PUN
5	NUM
)	PUN

