Examine	VER:pres
le	DET:ART
rejet	NOM
de	PRP
la	DET:ART
tradition	NOM
médicale	ADJ
arabe	ADJ
par	PRP
une	DET:ART
grande	ADJ
partie	NOM
des	PRP:det
humanistes	NOM
,	PUN
notamment	ADV
hellénistes	NOM
,	PUN
dans	PRP
l'	DET:ART
Europe	NAM
du	PRP:det
16e	NUM
s.	NOM
,	PUN
pour	PRP
des	PRP:det
raisons	NOM
religieuses	ADJ
et	KON
idéologiques	ADJ
,	PUN
mais	KON
aussi	ADV
par	PRP
souci	NOM
de	PRP
retrouver	VER:infi
la	DET:ART
pureté	NOM
des	PRP:det
écrits	NOM
grecs	ADJ
,	PUN
au	PRP:det
double	ADJ
plan	NOM
conceptuel	ADJ
et	KON
linguistique	ADJ

