Se	SE
analizan	VLfin
los	ART
dos	CARD
fragmentos	NC
más	ADV
largos	ADJ
y	CC
discutidos	VLadj
de	PREP
los	ART
atribuidos	VLadj
a	PREP
Simónides	NP
a partir de	PREP
la	ART
edición	NC
en	PREP
1992	CARD
del	PDEL
POxy	NC
.	FS

3965	CODE
:	COLON
el	ART
fr.	NC
11	CARD
West2	ACRNM
,	CM
que	CQUE
conserva	VLfin
restos	NC
de	PREP
45	CARD
versos	NC
del	PDEL
poema	NC
dedicado	VLadj
a	PREP
la	ART
batalla	NC
de	PREP
Platea	ADJ
,	CM
al	PAL
cual	REL
pertenecen	VLfin
también	ADV
con	PREP
bastante	ADJ
probabilidad	NC
los	ART
fr.	NC
10	CODE
y	CC
12-18	CODE
;	SEMICOLON
y	CC
el	ART
fr.	NC
22	CARD
West2	ACRNM
,	CM
una	ART
elegía	NC
erótico-simposíaca	ADJ
,	CM
resultado	VLadj
de	PREP
la	ART
combinación	NC
de	PREP
un	ART
pequeño	ADJ
fragmento	NC
del	PDEL
mismo	ADJ
papiro	NC
con	PREP
tres	CARD
fragmentos	NC
del	PDEL
POxy	NC
.	FS

2327.	BACKSLASH

