Sénèque	NAM
ne	ADV
s'	PRO:PER
étonne	VER:pres
pas.	ABR
Son	VER:futu
projet	NOM
central	ADJ
est	VER:pres
d'	PRP
ôter	VER:infi
à	PRP
l'	DET:ART
homme	NOM
l'	DET:ART
étonnement	NOM
qui	PRO:REL
terrifie	VER:pres
,	PUN
pour	PRP
le	PRO:PER
mener	VER:infi
à	PRP
la	DET:ART
contemplation	NOM
de	PRP
la	DET:ART
nature	NOM
.	SENT

Il	PRO:PER
relativise	VER:pres
la	DET:ART
notion	NOM
de	PRP
«	PUN:cit
miraculum	NOM
»	PUN:cit
qui	PRO:REL
renvoie	VER:pres
à	PRP
l'	DET:ART
attitude	NOM
de	PRP
l'	DET:ART
admirateur	NOM
la	DET:ART
nature	NOM
,	PUN
pas	ADV
à	PRP
la	DET:ART
nature	NOM
elle-même	PRO:PER

