Se	SE
estudian	VLfin
mosaicos	ADJ
de	PREP
tema	NC
marino	VLfin
,	CM
en	PREP
los	ART
que	CQUE
es	VSfin
frecuente	ADJ
la	ART
aparición	NC
de	PREP
Océano	NC
,	CM
uno	CARD
de	PREP
los	ART
dioses	NC
más	ADV
populares	ADJ
en	PREP
el	ART
helenismo	NC
.	FS

El	ART
éxito	NC
de	PREP
este	DM
tipo	NC
de	PREP
mosaicos	ADJ
puede	VMfin
responder	VLinf
a	PREP
una	ART
motivación	NC
de	PREP
tipo	NC
social	ADJ
,	CM
ya que	CSUBF
era	VEfin
considerado	VLadj
todo	QU
un	ART
lujo	NC
el	ART
poseer	VLinf
una	ART
casa	NC
con	PREP
vistas	NC
al	PAL
mar	NC
y	CC
el	ART
poder	VMinf
disfrutar	VLinf
de	PREP
los	ART
productos	NC
marinos	NC

