Offers	VBZ
the	DT
text	NN
and	CC
translation	NN
of	IN
a	DT
new	JJ
fragment	NN
of	IN
the	DT
so-called	JJ
Beersheeba	NP
tax	NN
edict	NN
(	(
actually	RB
an	DT
imperial	JJ
rescript	NN
,	,
probably	RB
of	IN
the	DT
emperor	NN
Justinian	NP
)	)
,	,
a	DT
marble	NN
slab	NN
containing	VBG
nine	CD
lines	NNS
of	IN
Greek	JJ
text	NN
discovered	VBN
during	IN
salvage	NN
excavations	NNS
at	IN
Beersheba	NP
in	IN
1996.	CD

Interpretation	NN
of	IN
the	DT
original	JJ
inscription	NN
as	IN
a	DT
whole	JJ
:	:
abuses	NNS
in	IN
the	DT
collection	NN
of	IN
an	DT
unspecified	JJ
tax	NN
required	VBD
the	DT
emperor	NN
to	TO
issue	VB
a	DT
pragmatic	JJ
sanction	NN
with	IN
an	DT
attached	VBN
schedule	NN
of	IN
the	DT
amounts	NNS
to	TO
be	VB
paid	VBN
by	IN
various	JJ
fiscal	JJ
units	NNS
of	IN
the	DT
country	NN
.	SENT

Appendix	NN
:	:
text	NN
and	CC
translation	NN
of	IN
fr.	NP
2-3	CD
of	IN
the	DT
same	JJ
edict	NN
,	,
as	RB
well	RB
as	IN
of	IN
fr.	NP
4	CD
,	,
after	IN
the	DT
text	NN
edited	VBN
by	IN
Alt	NP
(	(
Die	VB
griechischen	NP
Inschriften	NP
der	NP
Palästina	NP
tertia	NP
westlich	NP
der	NP
Araba	NP
,	,
Berlin	NP
1921	CD
=>	NN
J.	NP
Marouzeau	NP
,	,
Dix	NP
années	NNS
de	NP
bibliographie	NN
classique	NN
,	,
2	CD
,	,
Paris	NP
1928	CD
,	,
p.	NN
810	CD
)	)

