Se	SE
examinan	VLfin
la	ART
figura	NC
histórica	ADJ
de	PREP
Barhadbeshabba	NP
,	CM
obispo	VLfin
nestoriano	NC
de	PREP
Halwan	NC
y	CC
autor	NC
de	PREP
la	ART
escuela	NC
de	PREP
Nísibe	VLfin
,	CM
de	PREP
finales	NC
del	PDEL
siglo	NC
5°	NC
,	CM
y	CC
su	PPO
obra	NC
escrita	VLadj
en	PREP
siríaco	NC
«	SYM
Causa	NC
de	PREP
la	ART
fundación	NC
de	PREP
las	ART
escuelas	NC
»	SYM
.	FS

En	PREP
su	PPO
primera	ORD
parte	NC
,	CM
Barhadbeshabba	NP
aporta	VLfin
una	ART
exposición	NC
teorética	NC
de	PREP
la	ART
filosofía	NC
desde	PREP
la	ART
perspectiva	NC
de	PREP
la	ART
metafísica	NC
,	CM
la	ART
antropología	NC
y	CC
la	ART
gnoseología	NC
.	FS

En	PREP
la	ART
segunda	ORD
,	CM
escribe	VLfin
una	ART
historia	NC
de	PREP
la	ART
filosofía	NC
pre-griega	ADJ
,	CM
griega	ADJ
y	CC
cristiana	ADJ

