Se	SE
revisan	VLfin
los	ART
datos	NC
históricos	ADJ
relativos	ADJ
al	PAL
poblamiento	NC
paleocristiano	ADJ
y	CC
bizantino	ADJ
de	PREP
la	ART
región	NC
del	PDEL
Alto	NC
Éufrates	NC
sirio	ADJ
a partir de	PREP
las	ART
novedades	NC
arqueológicas	ADJ
acontecidas	VLadj
en	PREP
este	DM
territorio	NC
como	ADV
resultado	VLadj
de	PREP
las	ART
prospecciones	NC
que	CQUE
el	ART
Instituto	NC
del	PDEL
Próximo	NC
Oriente	ADJ
Antiguo	ADJ
(	LP
IPOA-Universidad	NC
de	PREP
Murcia	NC
)	RP
coordina	VLfin
en	PREP
la	ART
zona	NC
.	FS

