Si	PRO:refl
prende	VER:pres
in	PRE
esame	NOM
il	DET:def
ruolo	NOM
attribuito	VER:pper
al	PRE:det
senato	NOM
nelle	PRE:det
«	PON
Verrine	NOM
»	PON
,	PON
analizzando	VER:geru
i	DET:def
riferimenti	NOM
ciceroniani	NOM
ai	PRE:det
tribunali	NOM
senatori	ADJ
e	CON
alla	PRE:det
«	PON
lex	NOM
Aurelia	NOM
»	PON
e	CON
il	DET:def
loro	PRO:poss
significato	NOM
retorico-politico	ADJ
.	SENT

Pompeo	NOM
rimane	VER:pres
invece	ADV
sostanzialmente	ADV
nell'	PRE:det
ombra	NOM
,	PON
anche	ADV
a	PRE
causa	NOM
di	PRE
una	DET:indef
valutazione	NOM
per	PRE
certi	ADJ
aspetti	NOM
miope	ADJ
della	PRE:det
sua	PRO:poss
figura	NOM

