Im	APPRART
9.	ADJA

Märtyrer-Hymnus	NE
hat	VAFIN
Prudentius	NN
auf	APPR
dem	ART
relativ	ADJD
engen	ADJA
Raum	NN
von	APPR
106	CARD
Versen	NN
einerseits	ADV
verschiedene	ADJA
literarische	ADJA
Formen	NN
(	$(
Anfang	NN
und	KON
Ende	NN
entsprechen	VVFIN
einem	ART
Reisegedicht	NN
-	$(
«	$(
iter	ADJD
»	$(
-	$(
,	$,
sie	PPER
umschliessen	VVFIN
zwei	CARD
Ekphraseis	NN
)	$(
zu	APPR
einem	ART
geschlossenen	ADJA
Ganzen	NN
zusammengefügt	VVPP
,	$,
andererseits	ADV
auch	ADV
einen	ART
eigenen	ADJA
inneren	ADJA
Wandel	NN
aufscheinen	VVINF
lassen	VVFIN
.	$.

