Im	APPRART
Dioskorosarchiv	NN
kommen	VVFIN
neben	APPR
dem	ART
Vater	NN
des	ART
Dioskoros	NE
noch	ADV
zwei	CARD
weitere	ADJA
Personen	NN
mit	APPR
dem	ART
Namen	NN
Apollos	NE
vor	PTKVZ
,	$,
die	PRELS
beide	PIS
eine	ART
Zeitlang	NE
das	ART
seit	APPR
340	CARD
belegte	ADJA
polizeiliche	ADJA
Amt	NN
des	ART
riparius	NN
ausübten	VVFIN
.	$.

Claudius	NE
bzw	NE
.	$.

Flavius	NE
Apollos	NE
wird	VAFIN
teils	ADV
mit	APPR
dem	ART
einen	PIS
,	$,
teils	ADV
mit	APPR
dem	ART
anderen	PIS
,	$,
teils	ADV
ganz	ADV
ohne	APPR
gentilicium	NN
in	APPR
insgesamt	ADV
10	CARD
Texten	NN
zwischen	APPR
521	CARD
und	KON
585	CARD
n.	APPR
Chr.	NE
erwähnt	VVPP
.	$.

Aurelius	NE
Apollos	NE
,	$,
Sohn	NN
des	ART
Isakios	NE
dürfte	VMFIN
der	ART
unmittelbare	ADJA
Amtsnachfolger	NN
gewesen	VAPP
sein	VAINF
und	KON
ist	VAFIN
durch	APPR
acht	CARD
Texte	NN
zwischen	APPR
522	CARD
und	KON
553	CARD
belegt	VVPP
.	$.

Durch	APPR
weitere	ADJA
Texte	NN
sind	VAFIN
Flavius	NE
Victor	NE
sowie	KON
einige	PIAT
anonyme	ADJA
und	KON
auswärtige	ADJA
riparii	NE
belegt	VVPP
.	$.

