L'	DET:def
intervento	NOM
del	PRE:det
senato	NOM
nel	PRE:det
conferimento	NOM
dell'	PRE:det
«	PON
imperium	NOM
»	PON
,	PON
che	PRO:rela
si	PRO:refl
manifesta	VER:pres
alla	PRE:det
metà	NOM
circa	ADV
dell'	PRE:det
età	NOM
repubblicana	ADJ
con	PRE
una	DET:indef
«	PON
prorogatio	NOM
»	PON
riguardo	NOM
ai	PRE:det
governatori	NOM
provinciali	ADJ
,	PON
implica	VER:pres
un'	DET:indef
evoluzione	NOM
della	PRE:det
struttura	NOM
,	PON
nozione	NOM
e	CON
concezione	NOM
romana	ADJ
dell'	PRE:det
«	PON
imperium	NOM
»	PON
,	PON
che	PRO:rela
poteva	VER:impf
così	ADV
essere	VER:infi
oggetto	NOM
di	PRE
una	DET:indef
«	PON
datio	NOM
»	PON
da	PRE
parte	NOM
di	PRE
soggetti	NOM
istituzionali	ADJ
cui	PRO:rela
esso	PRO:pers
non	ADV
competeva	VER:impf

