Se	SE
estudia	VLfin
la	ART
representación	NC
,	CM
mediante	PREP
imágenes	NC
alegóricas	ADJ
,	CM
de	PREP
ideas	NC
o	CC
conceptos	NC
filosóficos	ADJ
,	CM
como	CSUBX
la	ART
sabiduría	NC
,	CM
la	ART
filosofía	NC
,	CM
la	ART
belleza	NC
,	CM
el	ART
bienestar	NC
,	CM
la	ART
felicidad	NC
,	CM
la	ART
magnanimidad	NC
,	CM
el	ART
juicio	NC
,	CM
la	ART
gracia	NC
,	CM
la	ART
justicia	NC
,	CM
etc.	NC
Las	ART
abstracciones	NC
representadas	VLadj
en	PREP
los	ART
mosaicos	ADJ
orientales	NC
de	PREP
los	ART
siglos	NC
4°	NP
y	CC
5°	NP
están	VEfin
relacionadas	VLadj
con	PREP
ideas	NC
filosóficas	ADJ
y	CC
religiosas	ADJ
de	PREP
comienzos	NC
del	PDEL
helenismo	NC
y	CC
finales	NC
de	PREP
la	ART
Antigüedad	NC
.	FS

Sin embargo	ADV
,	CM
en	PREP
el	ART
extremo	NC
occidental	ADJ
del	PDEL
Imperio	NC
,	CM
en	PREP
Hispania	NP
y	CC
en	PREP
el	ART
Norte	NC
de	PREP
África	NC
,	CM
la	ART
influencia	NC
más	ADV
marcada	VLadj
es	VSfin
la	ART
latina	ADJ
,	CM
dándose	VLadj
con	PREP
más	ADV
frecuencia	NC
las	ART
personificaciones	NC
alegóricas	ADJ
alusivas	ADJ
al	PAL
tiempo	NC
o	CC
al	PAL
cosmos	NC
que	CQUE
las	ART
relativas	ADJ
a	PREP
conceptos	NC
filosóficos	ADJ
abstractos	ADJ
.	FS

