Si	PRO:pers
delinea	VER:pres
il	DET:def
maturare	VER:infi
dell'	PRE:det
opposizione	NOM
ambrosiana	ADJ
al	PRE:det
potere	NOM
imperiale	ADJ
,	PON
culminata	VER:pper
nella	PRE:det
lotta	NOM
delle	PRE:det
basiliche	NOM
del	PRE:det
385-386	NUM
,	PON
nell'	PRE:det
ambito	NOM
più	ADV
generale	ADJ
del	PRE:det
processo	NOM
di	PRE
affrancamento	NOM
della	PRE:det
Chiesa	NOM
dallo	PRE:det
Stato	NOM
nella	PRE:det
seconda	ADJ
metà	NOM
del	PRE:det
4°	NOM
sec.	NOM
,	PON
grazie	NOM
all'	PRE:det
analisi	NOM
dei	PRE:det
testi	NOM
storico-teologici	ADJ
di	PRE
Ambrogio	NPR
datati	VER:pper
ai	PRE:det
primi	NOM
12	NUM
anni	NOM
del	PRE:det
suo	PRO:poss
episcopato	NOM
e	CON
dei	PRE:det
documenti	NOM
coevi	ADJ
,	PON
come	CON
il	DET:def
decreto	NOM
di	PRE
Valentiniano	NOM
II	NUM
(	PON
C.	NPR
Theod.	ABR
16	NUM
,	PON
1	NUM
,	PON
4	NUM
)	PON

