L'	DET:def
opera	NOM
era	VER:impf
in	PRE
origine	NOM
strutturata	VER:pper
secondo	PRE
un	DET:indef
ordine	NOM
alfabetico	ADJ
integrale	ADJ
,	PON
successivamente	ADV
alterato	VER:pper
dal	PRE:det
copista	NOM
del	PRE:det
ms.	NOM
Venezia	NPR
,	PON
Bibl	NOM
.	SENT

Nazionale	ADJ
Marciana	NOM
,	PON
gr.	ABR
269	NUM
(	PON
533	NUM
)	PON
.	SENT

Non	ADV
si	PRO:refl
tratta	VER:pres
tuttavia	ADV
del	PRE:det
più	ADV
antico	ADJ
esempio	NOM
di	PRE
ordine	NOM
alfabetico	ADJ
completo	ADJ
,	PON
che	PRO:rela
è	VER:pres
invece	ADV
offerto	VER:pper
da	PRE
Arpocrazione	NOM

