Si	PRO:refl
tenta	VER:pres
di	PRE
individuare	VER:infi
la	DET:def
categoria	NOM
di	PRE
musici	ADJ
citata	VER:pper
nel	PRE:det
r.	NOM

5	NUM
di	PRE
PLond	NOM
.	SENT

2	NUM
,	PON
331	NUM
(	PON
165	NUM
d.	NOM
C.	NPR
)	PON
,	PON
contenente	VER:ppre
un	DET:indef
contratto	NOM
di	PRE
ingaggio	NOM
per	PRE
scritturare	VER:infi
degli	PRE:det
artisti	NOM
a	PRE
Soknopaiou	NOM
Nesos	NOM
,	PON
sulla	PRE:det
base	NOM
di	PRE
un	DET:indef
confronto	NOM
con	PRE
gli	DET:def
analoghi	ADJ
documenti	NOM
riportati	VER:pper
da	PRE
PGen	NOM
.	SENT

1	NUM
,	PON
73	NUM
(	PON
inizi	NOM
del	PRE:det
3°	NOM
sec.	NOM
d.	NOM
C.	NPR
,	PON
Philadelphia	NOM
)	PON
,	PON
e	CON
da	PRE
POxy	NOM
.	SENT

34	NUM
,	PON
2721	NUM
(	PON
234	NUM
d.	NOM
C.	NPR
,	PON
Ossirinco	NOM
)	PON
.	SENT

Gli	DET:def
artisti	NOM
itineranti	ADJ
e	CON
la	DET:def
loro	PRO:poss
attività	NOM
nell'	PRE:det
Egitto	NPR
romano	ADJ
,	PON
la	DET:def
categoria	NOM
di	PRE
musici	ADJ
noti	ADJ
come	CON
«	PON
paistai	VER:impe
»	PON
,	PON
la	DET:def
struttura	NOM
della	PRE:det
parte	NOM
orchestica	NOM
delle	PRE:det
compagnie	NOM

