Ce	PRO:DEM
panneau	NOM
de	PRP
1,50	NUM
m	NOM
de	PRP
haut	NOM
provient	VER:pres
d'	PRP
une	DET:ART
grande	ADJ
«	PUN:cit
domus	NOM
»	PUN:cit
augustéenne	ADJ
.	SENT

Il	PRO:PER
avait	VER:impf
été	VER:pper
signalé	VER:pper
par	PRP
A.	ABR
Audin	NAM
(	PUN
=>	ABR
56-08113	NUM
)	PUN
et	KON
se	PRO:PER
trouve	VER:pres
actuellement	ADV
déposé	VER:pper
au	PRP:det
musée	NOM
de	PRP
la	DET:ART
Civilisation	NOM
gallo-romaine	ADJ
.	SENT

La	DET:ART
scène	NOM
représente	VER:pres
une	DET:ART
géranomachie	NOM
et	KON
les	DET:ART
protagonistes	NOM
,	PUN
grues	NOM
et	KON
pygmées	NOM
,	PUN
en	PRO:PER
sont	VER:pres
bien	ADV
proportionnés	VER:pper
,	PUN
contrairement	ADV
aux	PRP:det
exemples	NOM
campaniens	ADJ
.	SENT

Voir	VER:infi
aussi	ADV
75-12861	NUM

