L'	DET:def
orizzonte	NOM
politico	ADJ
non	ADV
poleico	ADJ
nel	PRE:det
pensiero	NOM
di	PRE
Aristotele	NPR
,	PON
sulla	PRE:det
base	NOM
della	PRE:det
sua	PRO:poss
concezione	NOM
degli	PRE:det
«	PON
ethne	VER:impe
»	PON
,	PON
a	PRE
cui	PRO:rela
egli	PRO:pers
sembra	VER:pres
attribuire	VER:infi
,	PON
oltre	ADV
al	PRE:det
significato	NOM
generico	ADJ
di	PRE
«	PON
popolo	NOM
o	CON
stato	NOM
non	ADV
poleico	ADJ
»	PON
,	PON
anche	ADV
un	DET:indef
aspetto	NOM
legato	VER:pper
al	PRE:det
fenomeno	NOM
federale	ADJ
.	SENT

Esame	NOM
di	PRE
passi	NOM
dalla	PRE:det
«	PON
Politica	NOM
»	PON

