There	EX
are	VBP
two	CD
contemporary	JJ
views	NNS
of	IN
the	DT
authorial	JJ
purposes	NNS
of	IN
the	DT
«	)
Rhetoric	NP
»	(
:	:
one	PP
maintains	VBZ
that	IN
Aristotle	NP
valued	VBN
democracy	NN
and	CC
understood	VBN
rhetoric	NN
to	TO
be	VB
a	DT
form	NN
of	IN
positive	JJ
civic	JJ
discourse	NN
(	(
e.	FW
g.	FW
,	,
G.	NP
Hauser	NP
[	SYM
=>	NP
70-00640	CD
]	SYM
)	)
;	:
the	DT
other	JJ
suggests	VBZ
that	IN
Aristotle	NP
's	POS
purpose	NN
was	VBD
to	TO
instruct	VB
members	NNS
of	IN
the	DT
Academy	NP
and	CC
Lyceum	NP
in	IN
the	DT
necessary	JJ
evil	NN
of	IN
using	VBG
rhetoric	NN
to	TO
deal	VB
with	IN
the	DT
ignorant	JJ
masses	NNS
(	(
e.	FW
g.	FW
,	,
C.	NP
Poster	NP
[	SYM
=>	NP
68-00638	CD
]	SYM
)	)
.	SENT

The	DT
first	JJ
view	NN
is	VBZ
not	RB
supported	VBN
by	IN
the	DT
Aristotelian	JJ
texts	NNS
.	SENT

The	DT
second	JJ
view	NN
needs	VBZ
to	TO
expand	VB
the	DT
contexts	NNS
within	IN
which	WDT
the	DT
«	)
Rhetoric	NP
»	(
is	VBZ
understood	VBN
to	TO
include	VB
the	DT
transmission	NN
and	CC
editorial	NN
history	NN
of	IN
the	DT
Aristotelian	JJ
corpus	NN
before	IN
any	DT
purpose	NN
can	MD
be	VB
ascribed	VBN
to	TO
Aristotle	NN
without	IN
so	RB
much	JJ
qualification	NN
as	RB
to	TO
make	VB
the	DT
ascription	NN
meaningless	JJ
.	SENT

