Attraverso	ADV
un	DET:indef
riesame	NOM
dei	PRE:det
dati	NOM
archeologici	ADJ
di	PRE
Norba	NOM
,	PON
si	PRO:pers
analizzano	VER:pres
i	DET:def
cambiamenti	NOM
architettonici	ADJ
e	CON
urbanistici	ADJ
avvenuti	VER:pper
nella	PRE:det
città	NOM
nel	PRE:det
corso	NOM
del	PRE:det
2°	NOM
sec.	NOM
a.	NOM
C.	NPR
(	PON
monumentalizzazione	NOM
dei	PRE:det
santuari	NOM
,	PON
pianificazione	NOM
di	PRE
nuovi	ADJ
quartieri	NOM
,	PON
costruzione	NOM
delle	PRE:det
terme	NOM
centrali	ADJ
e	CON
di	PRE
nuove	ADJ
case	NOM
)	PON
,	PON
quale	PRO:rela
caso	NOM
significativo	ADJ
nel	PRE:det
panorama	NOM
dell'	PRE:det
Italia	NPR
centrale	ADJ
dopo	PRE
la	DET:def
seconda	ADJ
guerra	NOM
punica	NOM

