Plusieurs	PRO:IND
indices	NOM
textuels	ADJ
suggèrent	VER:pres
la	DET:ART
présence	NOM
sur	PRP
scène	NOM
de	PRP
choreutes	NOM
déguisés	VER:pper
en	PRP
chevaux	NOM
.	SENT

Une	DET:ART
telle	NOM
mise	VER:pper
en	PRP
scène	NOM
est	VER:pres
conforme	ADJ
à	PRP
la	DET:ART
longue	ADJ
tradition	NOM
des	PRP:det
chœurs	NOM
zoomorphes	ADJ
,	PUN
attestée	VER:pper
par	PRP
la	DET:ART
céramique	NOM
attique	ADJ
dès	PRP
la	DET:ART
seconde	NUM
moitié	NOM
du	PRP:det
6e	NUM
s.	ABR
av	NOM
.	SENT

J.	ABR
-C	ADJ
.	SENT

On	PRO:PER
peut	VER:pres
notamment	ADV
la	DET:ART
rapprocher	VER:infi
d'	PRP
un	DET:ART
chœur	NOM
de	PRP
Cavaliers	NOM
représenté	VER:pper
par	PRP
le	DET:ART
peintre	NOM
de	PRP
Berlin	NAM
1686	NUM
sur	PRP
une	DET:ART
amphore	NOM
à	PRP
figures	NOM
noires	ADJ
datant	VER:ppre
de	PRP
540-530	NUM
(	PUN
Berlin	NAM
,	PUN
Staatliche	NAM
Museum	NAM
,	PUN
F	ABR
1697	NUM
)	PUN

