Se	SE
estudia	VLfin
la	ART
interpretación	NC
de	PREP
algunas	QU
leyendas	NC
míticas	ADJ
que	CQUE
hace	VLfin
Dión	NC
en	PREP
sus	PPO
discursos	NC
diogénicos	NC
(	LP
or.	NC
6	CARD
y	CC
8-10	CARD
)	RP
.	FS

Como	CSUBX
los	ART
cínicos	ADJ
en general	ADV
,	CM
éste	DM
ofrece	VLfin
una	ART
interpretación	NC
subversiva	ADJ
de	PREP
los	ART
mitos	NC
que	CQUE
contrasta	VLfin
con	PREP
la	ART
interpretación	NC
más	ADV
común	ADJ
,	CM
tradicional	ADJ
y	CC
casi	ADV
oficial	ADJ
,	CM
la	ART
única	ADJ
prácticamente	ADV
que	CQUE
ha	VHfin
conocido	VLadj
el	ART
pueblo	NC
de	PREP
parte	NC
de	PREP
sus	PPO
educadores	NC
.	FS

Ello	PPX
enfrenta	VLfin
su	PPO
misión	NC
educadora	ADJ
,	CM
como	CSUBX
inquietante	ADJ
predicador	NC
errante	ADJ
,	CM
con	PREP
la	ART
formación	NC
propia	ADJ
de	PREP
los	ART
«	SYM
sofistas	NC
»	SYM
de	PREP
su	PPO
tiempo	NC

