Se	SE
presenta	VLfin
una	ART
nueva	ADJ
lectura	NC
del	PDEL
epígrafe	NC
(	LP
AE	ACRNM
1911	CARD
,	CM
84	CARD
)	RP
que	CQUE
propone	VLfin
atribuir	VLinf
la	ART
estatua	NC
de	PREP
Tanit	NC
Caelestis	NP
a	PREP
un	ART
«	SYM
artifex	NC
»	SYM
de	PREP
Feradi	NP
Maius	NP
,	CM
Saturninus	NP
,	CM
P(ublii	NP
)	RP
fil(ius	NC
)	RP
.	FS

Las	ART
características	NC
paleográficas	ADJ
de	PREP
la	ART
inscripción	NC
permiten	VLfin
suponer	VLinf
una	ART
datación	NC
en	PREP
época	NC
julio-claudia	VLfin
,	CM
quizá	ADV
en	PREP
época	NC
de	PREP
Augusto	NP
.	FS

La	ART
estatua	NC
debe	VMfin
considerarse	VCLIinf
como	CSUBX
un	ART
producto	NC
del	PDEL
artesanado	NC
del	PDEL
África	NP
romana	VLfin
,	CM
donce	VLfin
confluyen	VLfin
elementos	NC
iconográficos	NC
arcaicos	NC
orientales	ADJ
con	PREP
elementos	NC
más	ADV
estilizados	VLadj
del	PDEL
período	NC
helenístico	ADJ

