Se	SE
analiza	VLfin
la	ART
actitud	NC
que	CQUE
asume	VLfin
Constancio	NC
II	CARD
a	PREP
la	ART
llegada	NC
a	PREP
Oriente	NC
de	PREP
los	ART
obispos	NC
asistentes	NC
al	PAL
Concilio	NC
de	PREP
Sárdica	NP
,	CM
desde	PREP
el	ART
otoño	NC
de	PREP
343	CARD
al	PAL
inicio	NC
de	PREP
la	ART
cuaresma	NC
de	PREP
344.	INT

La	ART
reacción	NC
inmediata	ADJ
del	PDEL
augusto	ADJ
fue	VSfin
castigar	VLinf
a	PREP
aquellos	DM
que	CQUE
hubiesen	VHfin
apoyado	VLadj
a	PREP
sus	PPO
colegas	NC
occidentales	ADJ
en	PREP
esta	DM
asamblea	NC
conciliar	VLinf
.	FS

Así	CSUBX
Atanasio	NC
de	PREP
Alejandría	NP
menciona	VLfin
el	ART
exilio	NC
de	PREP
Arrio	NC
de	PREP
Palestina	NC
y	CC
Asterio	NC
de	PREP
Arabia	NP
en	PREP
la	ART
provincia	NC
de	PREP
«	SYM
Libia	NP
Superior	NC
»	SYM
.	FS

Ello	PPX
prueba	VLfin
el	ART
arraigo	VLfin
allí	ADV
de	PREP
las	ART
doctrinas	NC
arrianas	NC
.	FS

