Obwohl	KOUS
der	ART
Autor	NN
wohl	ADV
jüdischer	ADJA
Herkunft	NN
ist	VAFIN
,	$,
in	APPR
der	ART
Tradition	NN
des	ART
Jak	NN
steht	VVFIN
und	KON
an	APPR
jüdisch-apokalyptische	ADJA
Traditionen	NN
anknüpft	VVFIN
,	$,
ist	VAFIN
sein	PPOSAT
Brief	NN
nicht	PTKNEG
im	APPRART
eigentlichen	ADJA
Sinn	NN
judenchristlich	ADJD
,	$,
sondern	KON
dürfte	VMFIN
eher	ADV
in	APPR
den	ART
Kreis	NN
der	ART
paulinischen	ADJA
Wirkungsgebiete	NN
gehören	VVINF
.	$.

In	APPR
Stil	NN
und	KON
Terminologie	NN
zeigt	VVFIN
er	PPER
sich	PRF
hellenistisch	ADJD
beeinflusst	VVPP
.	$.

