Cette	PRO:DEM
prière	NOM
constitue	VER:pres
un	DET:ART
témoignage	NOM
important	ADJ
sur	PRP
l'	DET:ART
ecclésiologie	NOM
primitive	ADJ
.	SENT

Selon	PRP
le	DET:ART
schéma	NOM
des	PRP:det
plaidoyers	NOM
juridiques	ADJ
juifs	ADJ
,	PUN
elle	PRO:PER
remplit	VER:pres
une	DET:ART
fonction	NOM
apologétique	ADJ
et	KON
parénétique	ADJ
,	PUN
montrant	VER:ppre
comment	ADV
la	DET:ART
communauté	NOM
chrétienne	ADJ
doit	VER:pres
prendre	VER:infi
sa	DET:POS
place	NOM
dans	PRP
le	DET:ART
monde	NOM
,	PUN
après	PRP
la	DET:ART
mort	NOM
du	PRP:det
Christ	NAM
,	PUN
et	KON
y	PRO:PER
affirmer	VER:infi
son	DET:POS
identité	NOM

