Se	SE
analizan	VLfin
las	ART
claves	NC
de	PREP
la	ART
ética	NC
de	PREP
Epicteto	NC
en	PREP
el	ART
contexto	NC
de	PREP
la	ART
tradición	NC
socrática	ADJ
,	CM
poniéndose	VLadj
especial	ADJ
énfasis	NC
en	PREP
los	ART
aspectos	NC
innovadores	ADJ
de	PREP
aquélla	DM
.	FS

No	NEG
es	VSfin
posible	ADJ
pretender	VLinf
dar	VLinf
cuenta	NC
de	PREP
toda	QU
la	ART
riqueza	NC
y	CC
significación	NC
de	PREP
dicha	QU
ética	NC
sin	PREP
aunar	VLinf
del	PDEL
modo	NC
más	ADV
equilibrado	ADJ
y	CC
solidario	ADJ
posible	ADJ
los	ART
tres	CARD
componentes	NC
de	PREP
la	ART
herencia	NC
recibida	VLadj
por	PREP
Epicteto	NC
,	CM
a saber	ADV
:	COLON
el	ART
modelo	NC
del	PDEL
propio	ADJ
Sócrates	NP
,	CM
el	ART
de	PREP
los	ART
filósofos	NC
cínicos	ADJ
,	CM
y	CC
la	ART
doctrina	NC
de	PREP
los	ART
maestros	NC
estoicos	ADJ
.	FS

El	ART
crítico	ADJ
actual	ADJ
debe	VMfin
evitar	VLinf
introducir	VLinf
un	ART
factor	NC
de	PREP
distorsión	NC
privilegiando	VLger
de	PREP
modo	NC
artificial	ADJ
en	PREP
su	PPO
análisis	NC
cualquiera	QU
de	PREP
estos	DM
componentes	NC
sobre	PREP
los	ART
demás	QU
:	COLON
la	ART
ética	NC
de	PREP
Epicteto	NC
es	VSfin
un	ART
híbrido	ADJ
«	SYM
socrático-cínico-estoico	ADJ
»	SYM
delicado	ADJ
y	CC
comprometido	VLadj
,	CM
pero	CCAD
lleno	ADJ
de	PREP
sentido	NC
y	CC
enormemente	ADV
eficaz	ADJ
,	CM
como	CSUBX
lo	PPC
demuestra	VLfin
la	ART
poderosa	ADJ
seducción	NC
que	CQUE
ha	VHfin
ejercido	VLadj
a lo largo de	PREP
los	ART
siglos	NC
,	CM
como	ADV
,	CM
según	CSUBF
el	ART
testimonio	NC
de	PREP
Luciano	NP
(	LP
Ind.	NC
13	CODE
)	RP
,	CM
ya	ADV
ejerciera	VLfin
desde	PREP
la	ART
misma	ADJ
muerte	NC
del	PDEL
maestro	NC
su	PPO
lámpara	NC
legendaria	ADJ

