Si	PRO:pers
analizzano	VER:pres
i	DET:def
risultati	NOM
degli	PRE:det
scavi	NOM
della	PRE:det
chiesa	NOM
di	PRE
Saint-Etienne	NOM
,	PON
tracciando	VER:geru
l'	DET:def
evoluzione	NOM
dell'	PRE:det
edificio	NOM
a	PRE
partire	VER:infi
dal	PRE:det
4°	NOM
sec.	VER:geru
e	CON
inquadrandolo	VER:geru
nella	PRE:det
topografia	NOM
cristiana	ADJ
di	PRE
«	PON
Augusta	NOM
Praetoria	NOM
»	PON
,	PON
e	CON
quelli	PRO:demo
degli	PRE:det
scavi	NOM
della	PRE:det
chiesa	NOM
di	PRE
Sainte-Marie	NOM
di	PRE
Morgex	NOM
,	PON
fondata	VER:pper
all'	PRE:det
inizio	NOM
del	PRE:det
5°	NOM
sec.	NOM
e	CON
sottoposta	NOM
a	PRE
importanti	ADJ
trasformazioni	NOM
successive	ADJ

