Se	SE
aborda	VLfin
el	ART
tema	NC
del	PDEL
culto	ADJ
de	PREP
Jacinto	NP
en	PREP
Tarento	NC
(	LP
tema	NC
muy	ADV
discutido	VLadj
a lo largo de	PREP
toda	QU
la	ART
historia	NC
de	PREP
la	ART
investigación	NC
acerca de	PREP
esta	DM
ciudad	NC
colonial	ADJ
griega	ADJ
)	RP
,	CM
a partir de	PREP
la	ART
interpretación	NC
de	PREP
las	ART
fuentes	NC
antiguas	ADJ
,	CM
los	ART
materiales	ADJ
arqueológicos	ADJ
y	CC
el	ART
análisis	NC
topográfico	ADJ
de	PREP
la	ART
ciudad	NC
,	CM
con	PREP
el	ART
objetivo	NC
de	PREP
llegar	VLinf
a	PREP
establecer	VLinf
una	ART
visión	NC
total	ADJ
del	PDEL
estado	NC
actual	ADJ
de	PREP
la	ART
investigación	NC
y	CC
proponer	VLinf
nuevas	ADJ
vías	NC
de	PREP
trabajo	NC
.	FS

