Ces	PRO:DEM
folios	NOM
du	PRP:det
ms.	ABR
de	PRP
Paris	NAM
contenant	VER:ppre
des	PRP:det
œuvres	NOM
de	PRP
Maxime	NAM
le	DET:ART
Confesseur	NAM
ont	VER:pres
été	VER:pper
réparés	VER:pper
en	PRP
partie	NOM
par	PRP
Nicéphore	NAM
Moschopoulos	NAM
,	PUN
en	PRP
partie	NOM
par	PRP
son	DET:POS
«	PUN:cit
secrétaire	NOM
»	PUN:cit
,	PUN
dont	PRO:REL
la	DET:ART
main	NOM
est	VER:pres
reconnaissable	ADJ
dans	PRP
le	DET:ART
ms.	NOM
de	PRP
Bâle	NAM
,	PUN
qui	PRO:REL
contient	VER:pres
une	DET:ART
œuvre	NOM
du	PRP:det
moine	NOM
byzantin	ADJ
du	PRP:det
11e	NUM
s.	ABR
Nicon	NAM
de	PRP
la	DET:ART
Montagne	NAM
Noire	NAM
.	SENT

Il	PRO:PER
s'	PRO:PER
agit	VER:pres
probablement	ADV
de	PRP
Georges	NAM
Pepagomenos	NAM
,	PUN
Grand	NAM
Ecclésiarque	NAM
à	PRP
Constantinople	NAM
entre	PRP
1326	NUM
et	KON
1327	NUM

